dataset,sensitive_feature,run_id,baseline_idi_ratio,baseline_disc_count,baseline_total,baseline_time_s,proposed_idi_ratio,proposed_disc_count,proposed_total,proposed_time_s
adult,gender,0,0.064,64,1000,3.228,0.421,421,1000,3.11
adult,gender,1,0.065,65,1000,3.103,0.362,362,1000,2.932
adult,gender,2,0.068,68,1000,3.123,0.388,388,1000,3.633
adult,gender,3,0.079,79,1000,3.082,0.41,410,1000,3.286
adult,gender,4,0.067,67,1000,3.515,0.342,342,1000,2.985
adult,gender,5,0.079,79,1000,3.061,0.36,360,1000,3.047
adult,gender,6,0.065,65,1000,3.002,0.403,403,1000,2.935
adult,gender,7,0.065,65,1000,3.109,0.411,411,1000,2.967
adult,gender,8,0.071,71,1000,3.023,0.357,357,1000,2.967
adult,gender,9,0.047,47,1000,3.017,0.367,367,1000,2.955
adult,gender,10,0.082,82,1000,3.041,0.42,420,1000,2.962
adult,gender,11,0.059,59,1000,2.984,0.415,415,1000,2.944
adult,gender,12,0.071,71,1000,3.072,0.345,345,1000,2.931
adult,gender,13,0.069,69,1000,2.981,0.379,379,1000,3.029
adult,gender,14,0.068,68,1000,3.008,0.349,349,1000,3.122
adult,gender,15,0.073,73,1000,3.065,0.369,369,1000,2.988
adult,gender,16,0.061,61,1000,2.98,0.349,349,1000,2.975
adult,gender,17,0.071,71,1000,3.014,0.38,380,1000,2.947
adult,gender,18,0.072,72,1000,3.062,0.369,369,1000,3.03
adult,gender,19,0.061,61,1000,3.003,0.392,392,1000,2.946
adult,gender,20,0.062,62,1000,3.068,0.482,482,1000,2.948
adult,gender,21,0.07,70,1000,2.985,0.355,355,1000,2.99
adult,gender,22,0.068,68,1000,3.043,0.357,357,1000,2.95
adult,gender,23,0.06,60,1000,2.966,0.412,412,1000,3.015
adult,gender,24,0.058,58,1000,2.996,0.382,382,1000,2.94
adult,gender,25,0.08,80,1000,3.034,0.418,418,1000,3.0
adult,gender,26,0.06,60,1000,2.996,0.402,402,1000,3.041
adult,gender,27,0.07,70,1000,3.063,0.401,401,1000,2.953
adult,gender,28,0.068,68,1000,3.064,0.386,386,1000,3.019
adult,gender,29,0.081,81,1000,3.014,0.323,323,1000,2.937
adult,race,0,0.059,59,1000,3.102,0.485,485,1000,3.004
adult,race,1,0.088,88,1000,3.094,0.398,398,1000,3.007
adult,race,2,0.073,73,1000,3.047,0.402,402,1000,2.943
adult,race,3,0.069,69,1000,3.041,0.392,392,1000,2.956
adult,race,4,0.07,70,1000,2.993,0.354,354,1000,2.941
adult,race,5,0.077,77,1000,3.13,0.344,344,1000,2.952
adult,race,6,0.093,93,1000,2.986,0.356,356,1000,3.014
adult,race,7,0.076,76,1000,3.007,0.383,383,1000,2.942
adult,race,8,0.072,72,1000,3.077,0.406,406,1000,2.977
adult,race,9,0.077,77,1000,3.092,0.342,342,1000,2.923
adult,race,10,0.077,77,1000,3.064,0.371,371,1000,2.918
adult,race,11,0.078,78,1000,2.972,0.404,404,1000,2.983
adult,race,12,0.05,50,1000,3.019,0.379,379,1000,2.933
adult,race,13,0.067,67,1000,3.053,0.336,336,1000,2.953
